storename,address,location,date, time, devicetype,issuername, passfail, numberofattempts, issuercardtype, uservendorcomments, serialnumber, passbookui, readerlight, technologyavailable,contactlesscarddetails, contactlesscardpassfail,cardnumber, pno, latlong, failcomments,dpan, amount, build, refundstatus, othercomments, otherfailcomments, purchaseditemcategory, purchaseditemdetails, readerbeep, zipcode, minorcity, range, debitaskedpin, passbooknotification, orientation, displaymerchantname,displayamount,country
Store Name,Address,City, Date, Time,Device Type,Bank Name,PassFail,Number of Attempts,Card Type,User Comments,Serial Number,Passbook UI,Reader Light,Technology Available,Contactless Card,Contactless Card Pass Fail,Last Four,PNO,LAT-LONG,Fail Comments,DPAN,Amount, SW Build,Refund Status, Other Comments, Other Fail Comments, Product Item Category, Product Item Details, Reader Beep, Zip Code, Minor City, Range, Debit Asked Pin, Passbook Notification, Device Orientation, Display Merchant Name, Display Amount,Country
Staples,760 Newhall Dr  San Jose CA 95110  United States,San Jose,20160916,105900,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,37.35033595;-121.92364533,NA,8081,5,10.1 (14B49),NO,, NA,Perishable,unknown ,NA,95110,San Jose,Touch,NO,YES,Portrait,YES,YES,United States
Staples,750 Newhall Dr  San Jose CA 95110  United States,San Jose,20160916,110000,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,37.35025192;-121.92316496,NA,7676,5,10.1 (14B49),NO,, NA,Perishable,unknown ,NA,95110,San Jose,Touch,NO,YES,Portrait,YES,YES,United States
Staples,750 Newhall Dr  San Jose CA 95110  United States,San Jose,20160916,110000,iPhone 6,Citi,PASS,1,Credit,,F18Q19K5G5MP,NA,NA,YES,NA,NA,5739,MasterCard,37.35025192;-121.92316496,NA,6490,5,10.1 (14B49),NO,, NA,Perishable,unknown ,NA,95110,San Jose,Touch,NO,YES,Portrait,YES,YES,United States
Staples,750 Newhall Dr  San Jose CA 95110  United States,San Jose,20160916,110100,iPhone 6,Chase,PASS,1,Credit,,F18Q19K5G5MP,NA,NA,YES,NA,NA,671,Visa,37.35027879;-121.92332572,NA,7726,5,10.1 (14B49),NO,, NA,Perishable,unknown ,NA,95110,San Jose,Touch,NO,YES,Portrait,YES,YES,United States
Staples,750 Newhall Dr  San Jose CA 95110  United States,San Jose,20160916,110100,Apple Watch,Chase,PASS,1,Debit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,4295,Visa Debit ,37.35029169;-121.92337995,NA,4701,5,3.1 (14S445),NO,, NA,Perishable,unknown ,NA,95110,San Jose,Touch,YES,YES,Portrait,YES,YES,United States
Staples,750 Newhall Dr  San Jose CA 95110  United States,San Jose,20160916,110200,Apple Watch,BOA,FAIL,3,Debit,,FH9PTV0UG99D,Done,1,YES,Meta Bank-MasterCard Debit -0411,PASS,7855,MasterCard Debit,37.35030137;-121.92335322,Card not accepted,4208,,3.1 (14S445),NO,, tap failed on both phone and watch. dut shows done. reader beeps twice shows card read error please insert swipe or tap your card again. ,,,Twice,95110,San Jose,Touch,NO,NA,Portrait,NA,NA,United States
Staples,750 Newhall Dr  San Jose CA 95110  United States,San Jose,20160916,110400,iPhone 6,BOA,FAIL,3,Debit,,F18Q19K5G5MP,Done,1,YES,Meta Bank-MasterCard Debit -0411,PASS,7855,MasterCard Debit,37.35032308;-121.92334358,NA,1836,,10.1 (14B49),NO,, tap failed on both phone and watch. dut shows done. reader beeps twice shows card read error please insert swipe or tap your card again. ,,,Twice,95110,San Jose,Touch,NO,NA,Portrait,NA,NA,United States
mikes bike,1181 Lincoln Ave  San Jose CA 95125  United States,San Jose,20160916,110400,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,37.30704141;-121.90015261,NA,8081,0.99,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,95125,San Jose,Range1,NO,YES,Portrait,YES,YES,United States
mike's bike,1181 Lincoln Ave  San Jose CA 95125  United States,San Jose,20160916,113800,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,37.30704141;-121.90015261,NA,7676,0.99,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,95125,San Jose,Range1,NO,YES,Portrait,YES,YES,United States
mike's bike,1181 Lincoln Ave  San Jose CA 95125  United States,San Jose,20160916,113800,iPhone 6,Citi,PASS,1,Credit,,F18Q19K5G5MP,NA,NA,YES,NA,NA,5739,MasterCard,37.30704141;-121.90015261,NA,6490,0.99,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,95125,San Jose,Range1,NO,YES,Portrait,YES,YES,United States
