storename,address,location,date, time, devicetype,issuername, passfail, numberofattempts, issuercardtype, uservendorcomments, serialnumber, passbookui, readerlight, technologyavailable,contactlesscarddetails, contactlesscardpassfail,cardnumber, pno, latlong, failcomments,dpan, amount, build, refundstatus, othercomments, otherfailcomments, purchaseditemcategory, purchaseditemdetails, readerbeep, zipcode, minorcity, range, debitaskedpin, passbooknotification, orientation, displaymerchantname,displayamount,country
Store Name,Address,City, Date, Time,Device Type,Bank Name,PassFail,Number of Attempts,Card Type,User Comments,Serial Number,Passbook UI,Reader Light,Technology Available,Contactless Card,Contactless Card Pass Fail,Last Four,PNO,LAT-LONG,Fail Comments,DPAN,Amount, SW Build,Refund Status, Other Comments, Other Fail Comments, Product Item Category, Product Item Details, Reader Beep, Zip Code, Minor City, Range, Debit Asked Pin, Passbook Notification, Device Orientation, Display Merchant Name, Display Amount,Country
pep boys,13 US Highway 46  Montville NJ 07058  United States,San Jose,20160920,101800,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,40.85823015;-74.34301148,NA,8081,2.03,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7058,Montville,Touch,NO,YES,Portrait,YES,YES,United States
pep boys,13 US Highway 46  Montville NJ 07058  United States,San Jose,20160920,101900,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,40.85823015;-74.34301148,NA,7676,2.13,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7058,Montville,Touch,NO,YES,Portrait,YES,YES,United States
pep boys,13 US Highway 46  Montville NJ 07058  United States,San Jose,20160920,102000,iPhone 6,Citi,PASS,1,Credit,,F18Q19K5G5MP,NA,NA,YES,NA,NA,5739,MasterCard,40.85822014;-74.34296094,NA,6490,5.34,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7058,Montville,Touch,NO,YES,Portrait,YES,YES,United States
pep boys,13 US Highway 46  Montville NJ 07058  United States,San Jose,20160920,102000,iPhone 6,Chase,PASS,1,Credit,,F18Q19K5G5MP,NA,NA,YES,NA,NA,671,Visa,40.85822014;-74.34296094,NA,7726,3.2,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7058,Montville,Touch,NO,YES,Portrait,YES,YES,United States
pep boys,13 US Highway 46  Montville NJ 07058  United States,San Jose,20160920,102000,Apple Watch,BOA,PASS,1,Debit,,FH9PTV0UG99D,NA,NA,YES,NA,NA,7855,MasterCard Debit,40.85822014;-74.34296094,NA,4208,3.2,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7058,Montville,Touch,YES,YES,Portrait,YES,YES,United States
pep boys,13 US Highway 46  Montville NJ 07058  United States,San Jose,20160920,102100,Apple Watch,Chase,PASS,1,Debit,,FH9PTV0UG99D,NA,NA,YES,NA,NA,4295,Visa Debit ,40.85820694;-74.34293068,NA,4701,5.34,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7058,Montville,Touch,YES,YES,Portrait,YES,YES,United States
Panera Bread,804 Bloomfield Ave  West Caldwell NJ 07006  United States,San Jose,20160920,102100,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,40.84983123;-74.29565624,NA,8081,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7006,West Caldwell,Range1,NO,YES,Portrait,YES,YES,United States
Panera Bread,804 Bloomfield Ave  West Caldwell NJ 07006  United States,San Jose,20160920,104100,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,40.84967873;-74.29544829,NA,7676,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7006,West Caldwell,Range1,NO,YES,Portrait,YES,YES,United States
Panera Bread,780 Bloomfield Ave  West Caldwell NJ 07006  United States,San Jose,20160920,104100,iPhone 6,Citi,PASS,1,Credit,,F18Q19K5G5MP,NA,NA,YES,NA,NA,5739,MasterCard,40.84955727;-74.29526581,NA,6490,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7006,West Caldwell,Range1,NO,YES,Portrait,YES,YES,United States
Panera Bread,804 Bloomfield Ave  West Caldwell NJ 07006  United States,San Jose,20160920,104100,iPhone 6,Chase,PASS,1,Credit,,F18Q19K5G5MP,NA,NA,YES,NA,NA,671,Visa,40.84976083;-74.29570318,NA,7726,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7006,West Caldwell,Range1,NO,YES,Portrait,YES,YES,United States
Panera Bread,804 Bloomfield Ave  West Caldwell NJ 07006  United States,San Jose,20160920,104200,Apple Watch,BOA,PASS,1,Debit,Debit runs as credit,FH9PTV0UG99D,NA,NA,YES,NA,NA,7855,MasterCard Debit,40.84986673;-74.29575272,NA,4208,5,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7006,West Caldwell,Range1,NO,YES,Portrait,YES,YES,United States
Panera Bread,804 Bloomfield Ave  West Caldwell NJ 07006  United States,San Jose,20160920,104200,Apple Watch,Chase,PASS,1,Debit,Debit runs as credit,FH9PTV0UG99D,NA,NA,YES,NA,NA,4295,Visa Debit ,40.84988521;-74.29577527,NA,4701,5,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7006,West Caldwell,Range1,NO,YES,Portrait,YES,YES,United States
Mcdonald's drive throgh,707 US Highway 46  Parsippany NJ 07054  United States,San Jose,20160920,104300,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,40.86051703;-74.37299313,NA,8081,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7054,Parsippany,Touch,NO,YES,Portrait Face Down,YES,YES,United States
Mcdonald's drive throgh,707 US Highway 46  Parsippany NJ 07054  United States,San Jose,20160920,113000,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,40.86052780;-74.37306245,NA,7676,5.45,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7054,Parsippany,Touch,NO,YES,Portrait Face Down,YES,YES,United States
Mcdonald's,450 US Highway 46  Fairfield NJ 07004  United States,San Jose,20160920,113000,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,40.88428731;-74.28552638,NA,8081,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7004,Fairfield,Range1,NO,YES,Portrait Face Down,YES,YES,United States
Mcdonald's,450 US Highway 46  Fairfield NJ 07004  United States,San Jose,20160920,114900,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,40.88432243;-74.28542563,NA,7676,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7004,Fairfield,Range1,NO,YES,Portrait Face Down,YES,YES,United States
Mcdonald's,450 US Highway 46  Fairfield NJ 07004  United States,San Jose,20160920,114900,iPhone 6,Citi,PASS,1,Credit,,F18Q19K5G5MP,NA,NA,YES,NA,NA,5739,MasterCard,40.88443420;-74.28558597,NA,6490,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7004,Fairfield,Range1,NO,YES,Portrait Face Down,YES,YES,United States
Mcdonald's,450 US Highway 46  Fairfield NJ 07004  United States,San Jose,20160920,114900,iPhone 6,Chase,PASS,1,Credit,,F18Q19K5G5MP,NA,NA,YES,NA,NA,671,Visa,40.88452506;-74.28550987,NA,7726,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7004,Fairfield,Range1,NO,YES,Portrait Face Down,YES,YES,United States
Mcdonald's,446–470 US Highway 46  Fairfield NJ 07004  United States,San Jose,20160920,115000,Apple Watch,BOA,PASS,1,Debit,,FH9PTV0UG99D,NA,NA,YES,NA,NA,7855,MasterCard Debit,40.88477086;-74.28561690,NA,4208,5,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7004,Fairfield,Range1,NO,YES,Portrait Face Down,YES,YES,United States
Mcdonald's,450 US Highway 46  Fairfield NJ 07004  United States,San Jose,20160920,115000,Apple Watch,Chase,PASS,1,Debit,,FH9PTV0UG99D,NA,NA,YES,NA,NA,4295,Visa Debit ,40.88455566;-74.28556393,NA,4701,5,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7004,Fairfield,Range1,NO,YES,Portrait Face Down,YES,YES,United States
Quick Check Food Stores,384 Passaic Ave  Fairfield NJ 07004  United States,San Jose,20160920,115100,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,40.88855232;-74.27298890,NA,8081,2.99,10.1 (14B49),NO,, NA,Perishable,equinox ,NA,7004,Fairfield,Range2,NO,YES,Portrait Face Down,YES,YES,United States
Quick Check Food Stores,384 Passaic Ave  Fairfield NJ 07004  United States,San Jose,20160920,123900,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,40.88855952;-74.27298898,NA,7676,3.99,10.1 (14B49),NO,, NA,Perishable,equinox ,NA,7004,Fairfield,Range2,NO,YES,Portrait Face Down,YES,YES,United States
Quick Check Food Stores,384 Passaic Ave  Fairfield NJ 07004  United States,San Jose,20160920,124000,iPhone 6,Citi,PASS,1,Credit,,F18Q19K5G5MP,NA,NA,YES,NA,NA,5739,MasterCard,40.88856066;-74.27298496,NA,6490,2.99,10.1 (14B49),NO,, NA,Perishable,equinox ,NA,7004,Fairfield,Range2,NO,YES,Portrait Face Down,YES,YES,United States
Quick Check Food Stores,384 Passaic Ave  Fairfield NJ 07004  United States,San Jose,20160920,124000,iPhone 6,Chase,PASS,1,Credit,,F18Q19K5G5MP,NA,NA,YES,NA,NA,671,Visa,40.88856066;-74.27298496,NA,7726,3.99,10.1 (14B49),NO,, NA,Perishable,equinox ,NA,7004,Fairfield,Range2,NO,YES,Portrait Face Down,YES,YES,United States
Quick Check Food Stores,384 Passaic Ave  Fairfield NJ 07004  United States,San Jose,20160920,124100,Apple Watch,BOA,PASS,1,Debit,,FH9PTV0UG99D,NA,NA,YES,NA,NA,7855,MasterCard Debit,40.88856066;-74.27298496,NA,4208,3.99,3.1 (14S445),NO,, NA,Perishable,equinox ,NA,7004,Fairfield,Range2,YES,YES,Portrait Face Down,YES,YES,United States
Quick Check Food Stores,384 Passaic Ave  Fairfield NJ 07004  United States,San Jose,20160920,124100,Apple Watch,Chase,PASS,1,Debit,,FH9PTV0UG99D,NA,NA,YES,NA,NA,4295,Visa Debit ,40.88856066;-74.27298496,NA,4701,3.99,3.1 (14S445),NO,, NA,Perishable,equinox ,NA,7004,Fairfield,Range2,YES,YES,Portrait Face Down,YES,YES,United States
firehouse subs,195 US Highway 46  Totowa NJ 07512  United States,San Jose,20160920,124200,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,40.89414074;-74.22643354,NA,8081,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7512,Totowa,Touch,NO,YES,Landscape,YES,YES,United States
firehouse subs,195 US Highway 46  Totowa NJ 07512  United States,San Jose,20160920,130800,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,40.89420629;-74.22645341,NA,7676,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7512,Totowa,Touch,NO,YES,Landscape,YES,YES,United States
firehouse subs,17 Furler St  Totowa NJ 07512  United States,San Jose,20160920,130800,iPhone 6,Citi,PASS,1,Credit,,F18Q19K5G5MP,NA,NA,YES,NA,NA,5739,MasterCard,40.89434840;-74.22639482,NA,6490,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7512,Totowa,Touch,NO,YES,Landscape,YES,YES,United States
firehouse subs,17 Furler St  Totowa NJ 07512  United States,San Jose,20160920,130800,iPhone 6,Chase,PASS,1,Credit,,F18Q19K5G5MP,NA,NA,YES,NA,NA,671,Visa,40.89425700;-74.22630890,NA,7726,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,7512,Totowa,Touch,NO,YES,Landscape,YES,YES,United States
firehouse subs,17 Furler St  Totowa NJ 07512  United States,San Jose,20160920,130900,Apple Watch,BOA,PASS,1,Debit,Debit runs as credit,FH9PTV0UG99D,NA,NA,YES,NA,NA,7855,MasterCard Debit,40.89427670;-74.22635190,NA,4208,5,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7512,Totowa,Touch,NO,YES,Landscape,YES,YES,United States
firehouse subs,17 Furler St  Totowa NJ 07512  United States,San Jose,20160920,130900,Apple Watch,Chase,PASS,1,Debit,Debit runs as credit,FH9PTV0UG99D,NA,NA,YES,NA,NA,4295,Visa Debit ,40.89427670;-74.22635190,NA,4701,5,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,7512,Totowa,Touch,NO,YES,Landscape,YES,YES,United States
