storename,address,location,date, time, devicetype,issuername, passfail, numberofattempts, issuercardtype, uservendorcomments, serialnumber, passbookui, readerlight, technologyavailable,contactlesscarddetails, contactlesscardpassfail,cardnumber, pno, latlong, failcomments,dpan, amount, build, refundstatus, othercomments, otherfailcomments, purchaseditemcategory, purchaseditemdetails, readerbeep, zipcode, minorcity, range, debitaskedpin, passbooknotification, orientation, displaymerchantname,displayamount,country
Store Name,Address,City, Date, Time,Device Type,Bank Name,PassFail,Number of Attempts,Card Type,User Comments,Serial Number,Passbook UI,Reader Light,Technology Available,Contactless Card,Contactless Card Pass Fail,Last Four,PNO,LAT-LONG,Fail Comments,DPAN,Amount, SW Build,Refund Status, Other Comments, Other Fail Comments, Product Item Category, Product Item Details, Reader Beep, Zip Code, Minor City, Range, Debit Asked Pin, Passbook Notification, Device Orientation, Display Merchant Name, Display Amount,Country
Bloomingdale's,1 Stanford Shopping Ctr  Palo Alto CA 94304  United States,San Jose,20160914,104700,iPhone 6s Plus,Citi,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,5739,MasterCard,37.44250633;-122.16984093,NA,6490,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,94304,Palo Alto,Touch,NO,YES,Portrait,YES,YES,United States
Bloomingdale's,1 Stanford Shopping Ctr  Palo Alto CA 94304  United States,San Jose,20160914,104700,iPhone 6s Plus,Chase,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,671,Visa,37.44236413;-122.16960498,NA,7726,5,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,94304,Palo Alto,Touch,NO,YES,Portrait,YES,YES,United States
Bloomingdale's,1 Stanford Shopping Ctr  Palo Alto CA 94304  United States,San Jose,20160914,104800,Apple Watch,BOA,PASS,1,Debit, ,FH9PTV0UG99D,NA,NA,YES,NA,NA,7855,MasterCard Debit,37.44251673;-122.16954547,NA,4208,5,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,94304,Palo Alto,Touch,YES,YES,Portrait,YES,YES,United States
Bloomingdale's,1 Stanford Shopping Ctr  Palo Alto CA 94304  United States,San Jose,20160914,104800,Apple Watch,Chase,PASS,1,Debit, ,FH9PTV0UG99D,NA,NA,YES,NA,NA,4295,Visa Debit ,37.44254376;-122.16953172,NA,4701,5,3.1 (14S445),NO,, NA,Perishable,verifone ,NA,94304,Palo Alto,Touch,YES,YES,Portrait,YES,YES,United States
Bloomingdale's,1 Stanford Shopping Ctr  Palo Alto CA 94304  United States,San Jose,20160914,104900,iPhone 6s Plus,Discover,FAIL,3,Credit,,C38QFBN2GRWV, ,1,YES, ,FAIL,3094,Discover,37.44257670;-122.16962543,Card not accepted,8081,5,10.1 (14B49),NO,, tap failed on both phone and watch. Dut shows hold near reader to pay. reader beeps once shows card not accepted please use chip reader. ,Perishable,verifone ,Once,94304,Palo Alto,Touch,NO,NA,Portrait,NA,NA,United States
Bloomingdale's,1 Stanford Shopping Ctr  Palo Alto CA 94304  United States,San Jose,20160914,105100,Apple Watch,Discover,FAIL,3,Credit,,FH9PTV0UG99D,NA,1,YES,NA,NA,3094,Discover,37.44254267;-122.16967572,Card not accepted,5168,5,3.1 (14S445),NO,, tap failed on both phone and watch. Dut shows hold near reader to pay. reader beeps once shows card not accepted please use chip reader. ,Perishable,verifone ,Once,94304,Palo Alto,Touch,NO,NA,Portrait,NA,NA,United States
Bloomingdale's,1 Stanford Shopping Ctr  Palo Alto CA 94304  United States,San Jose,20160914,105200,iPhone 6s Plus,Amex,FAIL,1,Credit,,C38QFBN2GRWV,NA,1,YES,Amex -Amex -1047,FAIL,1007,Amex,37.44259602;-122.16970749,Paid using physical swipe,7676,5,10.1 (14B49),NO,, tap failed on both Amex card tap not allowed. paid by inserting reference card. Dut shows hold near reader to pay. reader beeps once shows card not accepted please use chip reader. ,Perishable,verifone ,Once,94304,Palo Alto,Touch,NO,NA,Portrait,NA,NA,United States
att park,18–22 Willie Mays Plz  San Francisco CA 94107  United States,San Jose,20160914,105400,iPhone 6s Plus,Discover,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,3094,Discover,37.77874592;-122.39080458,NA,8081,3.75,10.1 (14B49),NO,, NA,Perishable,Vivian,NA,94107,San Francisco,Range1,NO,YES,Portrait,YES,YES,United States
att park,18–22 Willie Mays Plz  San Francisco CA 94107  United States,San Jose,20160914,130000,iPhone 6s Plus,Amex,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,1007,Amex,37.77863117;-122.39063661,NA,7676,3.75,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,94107,San Francisco,Range1,NO,YES,Portrait,YES,YES,United States
att park,18–22 Willie Mays Plz  San Francisco CA 94107  United States,San Jose,20160914,130100,iPhone 6s Plus,Citi,PASS,1,Credit,,C38QFBN2GRWV,NA,NA,YES,NA,NA,5739,MasterCard,37.77858373;-122.39056293,NA,6490,3.75,10.1 (14B49),NO,, NA,Perishable,verifone ,NA,94107,San Francisco,Range1,NO,YES,Portrait,YES,YES,United States
